t (s)	q (C)
3.830000E-18	5.867942E-22
3.840000E-18	5.866112E-22
3.850000E-18	5.864300E-22
3.860000E-18	5.862507E-22
3.870000E-18	5.860730E-22
3.880000E-18	5.858972E-22
3.890000E-18	5.857231E-22
3.900000E-18	5.855507E-22
3.910000E-18	5.853801E-22
3.920000E-18	5.852111E-22
3.930000E-18	5.850438E-22
3.940000E-18	5.848782E-22
3.950000E-18	5.847143E-22
3.960000E-18	5.845520E-22
3.970000E-18	5.843913E-22
3.980000E-18	5.842322E-22
3.990000E-18	5.840747E-22
4.000000E-18	5.839188E-22
4.010000E-18	5.837645E-22
4.020000E-18	5.836117E-22
4.030000E-18	5.834604E-22
4.040000E-18	5.833107E-22
4.050000E-18	5.831625E-22
4.060000E-18	5.830158E-22
4.070000E-18	5.828706E-22
4.080000E-18	5.827269E-22
4.090000E-18	5.825846E-22
4.100000E-18	5.824438E-22
4.110000E-18	5.823044E-22
4.120000E-18	5.821664E-22
4.130000E-18	5.820298E-22
4.140000E-18	5.818947E-22
4.150000E-18	5.817609E-22
4.160000E-18	5.816285E-22
4.170000E-18	5.814974E-22
4.180000E-18	5.813677E-22
4.190000E-18	5.812394E-22
4.200000E-18	5.811123E-22
4.210000E-18	5.809866E-22
4.220000E-18	5.808622E-22
4.230000E-18	5.807390E-22
4.240000E-18	5.806172E-22
4.250000E-18	5.804966E-22
4.260000E-18	5.803772E-22
4.270000E-18	5.802591E-22
4.280000E-18	5.801423E-22
4.290000E-18	5.800266E-22
4.300000E-18	5.799122E-22
4.310000E-18	5.797989E-22
4.320000E-18	5.796869E-22
4.330000E-18	5.795760E-22
4.340000E-18	5.794663E-22
4.350000E-18	5.793578E-22
4.360000E-18	5.792504E-22
4.370000E-18	5.791441E-22
4.380000E-18	5.790390E-22
4.390000E-18	5.789349E-22
4.400000E-18	5.788320E-22
4.410000E-18	5.787302E-22
4.420000E-18	5.786295E-22
4.430000E-18	5.785298E-22
4.440000E-18	5.784312E-22
4.450000E-18	5.783337E-22
4.460000E-18	5.782372E-22
4.470000E-18	5.781418E-22
4.480000E-18	5.780473E-22
4.490000E-18	5.779539E-22
4.500000E-18	5.778615E-22
4.510000E-18	5.777702E-22
4.520000E-18	5.776798E-22
4.530000E-18	5.775903E-22
4.540000E-18	5.775019E-22
4.550000E-18	5.774144E-22
4.560000E-18	5.773279E-22
4.570000E-18	5.772423E-22
4.580000E-18	5.771577E-22
4.590000E-18	5.770740E-22
4.600000E-18	5.769912E-22
4.610000E-18	5.769094E-22
4.620000E-18	5.768284E-22
4.630000E-18	5.767484E-22
4.640000E-18	5.766692E-22
4.650000E-18	5.765909E-22
4.660000E-18	5.765135E-22
4.670000E-18	5.764370E-22
4.680000E-18	5.763613E-22
4.690000E-18	5.762864E-22
4.700000E-18	5.762124E-22
4.710000E-18	5.761393E-22
4.720000E-18	5.760669E-22
4.730000E-18	5.759954E-22
4.740000E-18	5.759247E-22
4.750000E-18	5.758548E-22
4.760000E-18	5.757857E-22
4.770000E-18	5.757174E-22
4.780000E-18	5.756499E-22
4.790000E-18	5.755831E-22
4.800000E-18	5.755172E-22
4.810000E-18	5.754519E-22
4.820000E-18	5.753875E-22
4.830000E-18	5.753237E-22
4.840000E-18	5.752608E-22
4.850000E-18	5.751985E-22
4.860000E-18	5.751370E-22
4.870000E-18	5.750762E-22
4.880000E-18	5.750162E-22
4.890000E-18	5.749568E-22
4.900000E-18	5.748981E-22
4.910000E-18	5.748401E-22
4.920000E-18	5.747829E-22
4.930000E-18	5.747263E-22
4.940000E-18	5.746703E-22
4.950000E-18	5.746151E-22
4.960000E-18	5.745605E-22
4.970000E-18	5.745066E-22
4.980000E-18	5.744533E-22
4.990000E-18	5.744007E-22
