t (s)	q (C)
2.389999999999994e-18	6.39479194849e-22
2.3999999999999938e-18	6.38784001777e-22
2.4099999999999937e-18	6.38094183119e-22
2.4199999999999937e-18	6.3740971382e-22
2.4299999999999936e-18	6.3673056845e-22
2.4399999999999936e-18	6.36056721221e-22
2.4499999999999935e-18	6.35388146004e-22
2.4599999999999935e-18	6.34724816353e-22
2.4699999999999934e-18	6.34066705515e-22
2.4799999999999934e-18	6.33413786451e-22
2.4899999999999933e-18	6.32766031854e-22
2.4999999999999932e-18	6.3212341416e-22
2.509999999999993e-18	6.3148590557e-22
2.519999999999993e-18	6.30853478058e-22
2.529999999999993e-18	6.30226103388e-22
2.539999999999993e-18	6.29603753133e-22
2.549999999999993e-18	6.28986398679e-22
2.559999999999993e-18	6.28374011246e-22
2.569999999999993e-18	6.27766561897e-22
2.579999999999993e-18	6.27164021551e-22
2.5899999999999928e-18	6.26566360995e-22
2.5999999999999927e-18	6.25973550895e-22
2.6099999999999927e-18	6.25385561809e-22
2.6199999999999926e-18	6.24802364192e-22
2.6299999999999926e-18	6.24223928414e-22
2.6399999999999925e-18	6.23650224767e-22
2.6499999999999924e-18	6.2308122347e-22
2.6599999999999924e-18	6.22516894686e-22
2.6699999999999923e-18	6.21957208526e-22
2.6799999999999923e-18	6.2140213506e-22
2.6899999999999922e-18	6.20851644322e-22
2.699999999999992e-18	6.20305706324e-22
2.709999999999992e-18	6.19764291058e-22
2.719999999999992e-18	6.19227368508e-22
2.729999999999992e-18	6.18694908653e-22
2.739999999999992e-18	6.18166881479e-22
2.749999999999992e-18	6.17643256981e-22
2.759999999999992e-18	6.17124005173e-22
2.769999999999992e-18	6.16609096093e-22
2.7799999999999918e-18	6.16098499809e-22
2.7899999999999917e-18	6.15592186425e-22
2.7999999999999916e-18	6.15090126085e-22
2.8099999999999916e-18	6.14592288984e-22
2.8199999999999915e-18	6.14098645367e-22
2.8299999999999915e-18	6.13609165535e-22
2.8399999999999914e-18	6.13123819854e-22
2.8499999999999914e-18	6.12642578755e-22
2.8599999999999913e-18	6.12165412742e-22
2.8699999999999913e-18	6.11692292395e-22
2.8799999999999912e-18	6.11223188371e-22
2.889999999999991e-18	6.10758071414e-22
2.899999999999991e-18	6.10296912354e-22
2.909999999999991e-18	6.09839682114e-22
2.919999999999991e-18	6.0938635171e-22
2.929999999999991e-18	6.08936892257e-22
2.939999999999991e-18	6.08491274973e-22
2.949999999999991e-18	6.08049471179e-22
